x1      y1      x2      y2      x3      y3
86.57   97.74   16.27   47.14   5.57    36.95
83.07   37.27   74.59   45.43   80.38   5.55
49.46   1.98    26.96   71.79   24.76   75.23
73.33   79.8    44.08   27.19   55.64   82.46
14.36   16.34   87.6    67.82   68.09   42.36
80.36   35.02   79.34   83.45   97.24   54.76
0.26    47.91   45.63   84.43   35.77   85.37
36.37   84.55   15.53   16.56   40.00   75.43
5.06    65.94   97.1    78.75   95.36   14.89
11.43   65.43   82.28   38.94   17.64   71.06
98.23   2.38    24.89   1.87    72.43   3.90
50.80   88.38   54.16   5.48    61.23   30.76
26.44   67.45   26.13   60.52   77.85   74.54
47.95   64.25   56.55   15.78   11.84   97.85
96.77   96.67   92.07   8.41    33.12   33.39
73.31   33.52   17.07   59.48   22.70   46.30
